,Nom_Districte,Nom_Barri,Sexe,Nombre,Edat
0,Ciutat Vella,el Raval,Dones,199,0
1,Ciutat Vella,el Barri Gòtic,Dones,62,0
2,Ciutat Vella,la Barceloneta,Dones,40,0
3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,55,0
4,Eixample,el Fort Pienc,Dones,83,0
5,Eixample,la Sagrada Família,Dones,156,0
6,Eixample,la Dreta de l'Eixample,Dones,111,0
7,Eixample,l'Antiga Esquerra de l'Eixample,Dones,138,0
8,Eixample,la Nova Esquerra de l'Eixample,Dones,164,0
9,Eixample,Sant Antoni,Dones,132,0
10,Sants-Montjuïc,el Poble Sec,Dones,146,0
11,Sants-Montjuïc,la Marina del Prat Vermell,Dones,5,0
12,Sants-Montjuïc,la Marina de Port,Dones,97,0
13,Sants-Montjuïc,la Font de la Guatlla,Dones,19,0
14,Sants-Montjuïc,Hostafrancs,Dones,54,0
15,Sants-Montjuïc,la Bordeta,Dones,77,0
16,Sants-Montjuïc,Sants - Badal,Dones,79,0
17,Sants-Montjuïc,Sants,Dones,147,0
18,Les Corts,les Corts,Dones,136,0
19,Les Corts,la Maternitat i Sant Ramon,Dones,82,0
20,Les Corts,Pedralbes,Dones,43,0
21,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,20,0
22,Sarrià-Sant Gervasi,Sarrià,Dones,93,0
23,Sarrià-Sant Gervasi,les Tres Torres,Dones,64,0
24,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,95,0
25,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,176,0
26,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,106,0
27,Gràcia,Vallcarca i els Penitents,Dones,62,0
28,Gràcia,el Coll,Dones,22,0
29,Gràcia,la Salut,Dones,35,0
30,Gràcia,la Vila de Gràcia,Dones,187,0
31,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,149,0
32,Horta-Guinardó,el Baix Guinardó,Dones,83,0
33,Horta-Guinardó,Can Baró,Dones,29,0
34,Horta-Guinardó,el Guinardó,Dones,113,0
35,Horta-Guinardó,la Font d'en Fargues,Dones,37,0
36,Horta-Guinardó,el Carmel,Dones,106,0
37,Horta-Guinardó,la Teixonera,Dones,42,0
38,Horta-Guinardó,Sant Genís dels Agudells,Dones,29,0
39,Horta-Guinardó,Montbau,Dones,13,0
40,Horta-Guinardó,la Vall d'Hebron,Dones,14,0
41,Horta-Guinardó,la Clota,Dones,1,0
42,Horta-Guinardó,Horta,Dones,90,0
43,Nou Barris,Vilapicina i la Torre Llobeta,Dones,81,0
44,Nou Barris,Porta,Dones,75,0
45,Nou Barris,el Turó de la Peira,Dones,65,0
46,Nou Barris,Can Peguera,Dones,2,0
47,Nou Barris,la Guineueta,Dones,43,0
48,Nou Barris,Canyelles,Dones,15,0
49,Nou Barris,les Roquetes,Dones,77,0
50,Nou Barris,Verdun,Dones,53,0
51,Nou Barris,la Prosperitat,Dones,78,0
52,Nou Barris,la Trinitat Nova,Dones,22,0
53,Nou Barris,Torre Baró,Dones,11,0
54,Nou Barris,Ciutat Meridiana,Dones,52,0
55,Nou Barris,Vallbona,Dones,6,0
56,Sant Andreu,la Trinitat Vella,Dones,45,0
57,Sant Andreu,Baró de Viver,Dones,8,0
58,Sant Andreu,el Bon Pastor,Dones,54,0
59,Sant Andreu,Sant Andreu,Dones,212,0
60,Sant Andreu,la Sagrera,Dones,92,0
61,Sant Andreu,el Congrés i els Indians,Dones,48,0
62,Sant Andreu,Navas,Dones,74,0
63,Sant Martí,el Camp de l'Arpa del Clot,Dones,114,0
64,Sant Martí,el Clot,Dones,72,0
65,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,56,0
66,Sant Martí,la Vila Olímpica del Poblenou,Dones,29,0
67,Sant Martí,el Poblenou,Dones,113,0
68,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,52,0
69,Sant Martí,el Besòs i el Maresme,Dones,77,0
70,Sant Martí,Provençals del Poblenou,Dones,85,0
71,Sant Martí,Sant Martí de Provençals,Dones,65,0
72,Sant Martí,la Verneda i la Pau,Dones,89,0
73,Ciutat Vella,el Raval,Dones,202,1
74,Ciutat Vella,el Barri Gòtic,Dones,50,1
75,Ciutat Vella,la Barceloneta,Dones,33,1
76,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,53,1
77,Eixample,el Fort Pienc,Dones,101,1
78,Eixample,la Sagrada Família,Dones,171,1
79,Eixample,la Dreta de l'Eixample,Dones,159,1
80,Eixample,l'Antiga Esquerra de l'Eixample,Dones,111,1
81,Eixample,la Nova Esquerra de l'Eixample,Dones,207,1
82,Eixample,Sant Antoni,Dones,119,1
83,Sants-Montjuïc,el Poble Sec,Dones,125,1
84,Sants-Montjuïc,la Marina del Prat Vermell,Dones,8,1
85,Sants-Montjuïc,la Marina de Port,Dones,108,1
86,Sants-Montjuïc,la Font de la Guatlla,Dones,27,1
87,Sants-Montjuïc,Hostafrancs,Dones,63,1
88,Sants-Montjuïc,la Bordeta,Dones,80,1
89,Sants-Montjuïc,Sants - Badal,Dones,87,1
90,Sants-Montjuïc,Sants,Dones,167,1
91,Les Corts,les Corts,Dones,151,1
92,Les Corts,la Maternitat i Sant Ramon,Dones,76,1
93,Les Corts,Pedralbes,Dones,39,1
94,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,22,1
95,Sarrià-Sant Gervasi,Sarrià,Dones,107,1
96,Sarrià-Sant Gervasi,les Tres Torres,Dones,65,1
97,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,83,1
98,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,197,1
99,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,117,1
100,Gràcia,Vallcarca i els Penitents,Dones,56,1
101,Gràcia,el Coll,Dones,29,1
102,Gràcia,la Salut,Dones,61,1
103,Gràcia,la Vila de Gràcia,Dones,217,1
104,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,128,1
105,Horta-Guinardó,el Baix Guinardó,Dones,76,1
106,Horta-Guinardó,Can Baró,Dones,33,1
107,Horta-Guinardó,el Guinardó,Dones,129,1
108,Horta-Guinardó,la Font d'en Fargues,Dones,30,1
109,Horta-Guinardó,el Carmel,Dones,117,1
110,Horta-Guinardó,la Teixonera,Dones,35,1
111,Horta-Guinardó,Sant Genís dels Agudells,Dones,30,1
112,Horta-Guinardó,Montbau,Dones,23,1
113,Horta-Guinardó,la Vall d'Hebron,Dones,24,1
114,Horta-Guinardó,la Clota,Dones,6,1
115,Horta-Guinardó,Horta,Dones,105,1
116,Nou Barris,Vilapicina i la Torre Llobeta,Dones,77,1
117,Nou Barris,Porta,Dones,102,1
118,Nou Barris,el Turó de la Peira,Dones,67,1
119,Nou Barris,Can Peguera,Dones,5,1
120,Nou Barris,la Guineueta,Dones,47,1
121,Nou Barris,Canyelles,Dones,16,1
122,Nou Barris,les Roquetes,Dones,57,1
123,Nou Barris,Verdun,Dones,39,1
124,Nou Barris,la Prosperitat,Dones,96,1
125,Nou Barris,la Trinitat Nova,Dones,28,1
126,Nou Barris,Torre Baró,Dones,11,1
127,Nou Barris,Ciutat Meridiana,Dones,62,1
128,Nou Barris,Vallbona,Dones,9,1
129,Sant Andreu,la Trinitat Vella,Dones,49,1
130,Sant Andreu,Baró de Viver,Dones,13,1
131,Sant Andreu,el Bon Pastor,Dones,45,1
132,Sant Andreu,Sant Andreu,Dones,183,1
133,Sant Andreu,la Sagrera,Dones,111,1
134,Sant Andreu,el Congrés i els Indians,Dones,59,1
135,Sant Andreu,Navas,Dones,73,1
136,Sant Martí,el Camp de l'Arpa del Clot,Dones,99,1
137,Sant Martí,el Clot,Dones,76,1
138,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,58,1
139,Sant Martí,la Vila Olímpica del Poblenou,Dones,25,1
140,Sant Martí,el Poblenou,Dones,130,1
141,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,83,1
142,Sant Martí,el Besòs i el Maresme,Dones,109,1
143,Sant Martí,Provençals del Poblenou,Dones,85,1
144,Sant Martí,Sant Martí de Provençals,Dones,88,1
145,Sant Martí,la Verneda i la Pau,Dones,82,1
146,Ciutat Vella,el Raval,Dones,196,2
